Rank,#,Title,Topics,"Rank, ",Difficulty,Time & Space,Status,Next,,,,
105,647,Palindromic Substrings,"String, Dynamic Programming, ","MIC112, ",Medium,,,,,,,
106,198,House Robber,,,Medium,,,,,,,
107,9,Palindrome Number,,,Easy,,,,,,,
108,209,Minimum Size Subarray Sum,"Array, Two Pointers, Binary Search, ","AMZ85, ",Medium,,,,,,,
109,986,Interval List Intersections,"Two Pointers, ","FB25, ",Medium,,,,,,,
110,240,Search a 2D Matrix II,"Binary Search, Divide and Conquer, ","AMZ25, MIC15, APP81, ",Medium,,,,,,,
111,134,Gas Station,"Greedy, ","APP43, ",Medium,,,,,,,
112,210,Course Schedule II,,"AMZ22, MIC26, ",Medium,,,,,,,
113,50,"Pow(x, n)","Math, Binary Search, ","FB23, MIC55, ",Medium,,,,,,,
114,279,Perfect Squares,,,Medium,,,,,,,
115,341,Flatten Nested List Iterator,"Stack, Design, ","APP03, ",Medium,,,,,,,
116,179,Largest Number,"Sort, ","AMZ81, MIC79, ",Medium,,,,,,,
117,468,Validate IP Address,"String, ","MIC42, ",Medium,,,,,,,
118,609,Find Duplicate File in System,"Hash Table, String, ","G58, ",Medium,,,,,,,
119,148,Sort List,"Linked List, Sort, ","MIC68, ",Medium,,,,,,,
120,203,Remove Linked List Elements,"Linked List, ","FB60, ",Easy,,,,,,,
121,909,Snakes and Ladders,,"AMZ75, APP27, ",Medium,,,,,,,
122,12,Integer to Roman,"Math, String, ","APP44, ",Medium,,,,,,,
123,8,String to Integer (atoi),"Math, String, ","FB68, MIC114, APP42, ",Medium,,,,,,,
124,974,Subarray Sums Divisible by K,,,Medium,,,,,,,
125,393,UTF-8 Validation,"Bit Manipulation, ","G83, MIC41, ",Medium,,,,,,,
126,399,Evaluate Division,"Union Find, Graph, ","AMZ54, MIC123, ",Medium,,,,,,,
127,70,Climbing Stairs,"Dynamic Programming, ","APP100, ",Easy,,,,,,,
128,207,Course Schedule,,"AMZ76, ",Medium,,,,,,,
129,18,4Sum,"Array, Hash Table, Two Pointers, ","APP65, ",Medium,,,,,,,
130,1242,Web Crawler Multithreaded,,"FB86, ",Medium,,,,,,,
131,86,Partition List,,,Medium,,,,,,,
132,723,Candy Crush,,,Medium,,,,,,,
133,175,Combine Two Tables,,,Easy,,,,,,,
134,636,Exclusive Time of Functions,"Stack, ","FB16, APP60, ",Medium,,,,,,,
135,34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search, ","FB27, MIC50, ",Medium,,,,,,,
136,543,Diameter of Binary Tree,"Tree, ","FB32, MIC116, ",Easy,,,,,,,
137,39,Combination Sum,"Array, Backtracking, ","APP93, ",Medium,,,,,,,
138,309,Best Time to Buy and Sell Stock with Cooldown,,,Medium,,,,,,,
139,957,Prison Cells After N Days,"Hash Table, ","AMZ08, ",Medium,,,,,,,
140,1130,Minimum Cost Tree From Leaf Values,,,Medium,,,,,,,
141,169,Majority Element,,,Easy,,,,,,,
142,388,Longest Absolute File Path,,"APP34, ",Medium,,,,,,,
143,523,Continuous Subarray Sum,"Math, Dynamic Programming, ","FB24, ",Medium,,,,,,,
144,539,Minimum Time Difference,,,Medium,,,,,,,
145,83,Remove Duplicates from Sorted List,,,Easy,,,,,,,
146,1348,Tweet Counts Per Frequency,,,Medium,,,,,,,
147,406,Queue Reconstruction by Height,"Greedy, ","G73, APP30, ",Medium,,,,,,,
148,101,Symmetric Tree,,,Easy,,,,,,,
149,98,Validate Binary Search Tree,"Tree, ","MIC53, ",Medium,,,,,,,
150,151,Reverse Words in a String,"String, ","MIC02, APP67, ",Medium,,,,,,,
151,378,Kth Smallest Element in a Sorted Matrix,"Binary Search, Heap, ","G70, AMZ74, FB43, ",Medium,,,,,,,
152,162,Find Peak Element,"Array, Binary Search, ","FB92, ",Medium,,,,,,,
153,572,Subtree of Another Tree,"Tree, ","AMZ11, MIC69, ",Easy,,,,,,,
154,143,Reorder List,"Linked List, ","APP99, ",Medium,,,,,,,
155,204,Count Primes,"Hash Table, Math, ","APP82, ",Easy,,,,,,,
156,1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,"Array, Sliding Window, ","G2, ",Medium,,,,,,,
157,545,Boundary of Binary Tree,"Tree, ","AMZ83, MIC19, ",Medium,,,,,,,
158,120,Triangle,"Array, Dynamic Programming, ","APP83, ",Medium,,,,,,,
159,1048,Longest String Chain,"Hash Table, Dynamic Programming, ","G65, ",Medium,,,,,,,
160,242,Valid Anagram,"Hash Table, Sort, ","MIC111, ",Easy,,,,,,,
161,177,Nth Highest Salary,,,Medium,,,,,,,
162,133,Clone Graph,,"FB39, MIC70, ",Medium,,,,,,,
163,226,Invert Binary Tree,"Tree, ","MIC93, ",Easy,,,,,,,
164,1344,Angle Between Hands of a Clock,"Math, ","MIC30, APP36, ",Medium,,,,,,,
165,29,Divide Two Integers,"Math, Binary Search, ","FB18, ",Medium,,,,,,,
166,1423,Maximum Points You Can Obtain from Cards,"Array, Dynamic Programming, Sliding Window, ","G1, ",Medium,,,,,,,
167,402,Remove K Digits,,,Medium,,,,,,,
168,75,Sort Colors,,,Medium,,,,,,,
169,724,Find Pivot Index,"Array, ","APP97, ",Easy,,,,,,,
170,19,Remove Nth Node From End of List,"Linked List, Two Pointers, ","MIC40, ",Medium,,,,,,,
171,438,Find All Anagrams in a String,"Hash Table, ","FB34, ",Medium,,,,,,,
172,437,Path Sum III,"Tree, ","AMZ37, ",Medium,,,,,,,
173,268,Missing Number,"Array, Math, Bit Manipulation, ","MIC120, ",Easy,,,,,,,
174,353,Design Snake Game,"Design, Queue, ","AMZ48, MIC46, APP19, ",Medium,,,,,,,
175,118,Pascal's Triangle,,,Easy,,,,,,,
176,71,Simplify Path,"String, Stack, ","FB72, ",Medium,,,,,,,
177,430,Flatten a Multilevel Doubly Linked List,,,Medium,,,,,,,
178,592,Fraction Addition and Subtraction,,,Medium,,,,,,,
179,74,Search a 2D Matrix,"Array, Binary Search, ","AMZ45, MIC67, ",Medium,,,,,,,
180,1029,Two City Scheduling,,,Medium,,,,,,,
181,722,Remove Comments,"String, ","G8, MIC36, ",Medium,,,,,,,
182,698,Partition to K Equal Sum Subsets,,,Medium,,,,,,,
183,819,Most Common Word,"String, ","AMZ07, ",Easy,,,,,,,
184,1031,Maximum Sum of Two Non-Overlapping Subarrays,,,Medium,,,,,,,
185,735,Asteroid Collision,"Stack, ","AMZ35, ",Medium,,,,,,,
186,426,Convert Binary Search Tree to Sorted Doubly Linked List,"Linked List, Divide and Conquer, Tree, ","FB15, ",Medium,,,,,,,
187,102,Binary Tree Level Order Traversal,"Tree, ","MIC86, ",Medium,,,,,,,
188,535,Encode and Decode TinyURL,,,Medium,,,,,,,
189,1244,Design A Leaderboard,"Hash Table, Sort, Design, ","G34, ",Medium,,,,,,,
190,1239,Maximum Length of a Concatenated String with Unique Characters,"Backtracking, Bit Manipulation, ","MIC03, ",Medium,,,,,,,
191,359,Logger Rate Limiter,"Hash Table, Design, ","G5, APP39, ",Easy,,,,,,,
192,340,Longest Substring with At Most K Distinct Characters,"Hash Table, Two Pointers, String, Sliding Window, ","FB28, MIC83, ",Medium,,,,,,,
193,1229,Meeting Scheduler,"Line Sweep, ","APP06, ",Medium,,,,,,,
194,311,Sparse Matrix Multiplication,"Hash Table, ","FB36, APP20, ",Medium,,,,,,,
195,421,Maximum XOR of Two Numbers in an Array,,,Medium,,,,,,,
196,38,Count and Say,"String, ","APP117, ",Easy,,,,,,,
197,73,Set Matrix Zeroes,"Array, ","MIC94, APP76, ",Medium,,,,,,,
198,1091,Shortest Path in Binary Matrix,,"AMZ47, ",Medium,,,,,,,
199,62,Unique Paths,,,Medium,,,,,,,
200,344,Reverse String,,,Easy,,,,,,,
201,153,Find Minimum in Rotated Sorted Array,,,Medium,,,,,,,
202,36,Valid Sudoku,"Hash Table, ","APP21, ",Medium,,,,,,,
203,529,Minesweeper,,"FB91, ",Medium,,,,,,,
204,1570,Dot Product of Two Sparse Vectors,"Array, Hash Table, Two Pointers, ","FB10, APP38, ",Medium,,,,,,,
205,43,Multiply Strings,"Math, String, ","FB66, ",Medium,,,,,,,
206,136,Single Number,,,Easy,,,,,,,
207,581,Shortest Unsorted Continuous Subarray,,,Medium,,,,,,,
208,346,Moving Average from Data Stream,"Design, Queue, ","G63, APP75, ",Easy,,,,,,,
209,1146,Snapshot Array,"Array, ","G16, ",Medium,,,,,,,
210,114,Flatten Binary Tree to Linked List,"Tree, ","FB93, ",Medium,,,,,,,
211,208,Implement Trie (Prefix Tree),"Design, Trie, ","AMZ63, APP105, ",Medium,,,,,,,
212,278,First Bad Version,"Binary Search, ","FB20, ",Easy,,,,,,,
213,1381,Design a Stack With Increment Operation,,,Medium,,,,,,,
214,694,Number of Distinct Islands,"Hash Table, ","AMZ28, MIC52, ",Medium,,,,,,,
215,1086,High Five,,,Easy,,,,,,,
216,122,Best Time to Buy and Sell Stock II,,,Easy,,,,,,,
217,797,All Paths From Source to Target,"Backtracking, ","AMZ78, ",Medium,,,,,,,
218,1025,Divisor Game,,,Easy,,,,,,,
219,314,Binary Tree Vertical Order Traversal,,"FB51, ",Medium,,,,,,,
220,729,My Calendar I,"Array, ","G23, ",Medium,,,,,,,
221,187,Repeated DNA Sequences,"Hash Table, Bit Manipulation, ","MIC45, APP50, ",Medium,,,,,,,
222,365,Water and Jug Problem,,,Medium,,,,,,,
223,733,Flood Fill,,"AMZ42, MIC97, ",Easy,,,,,,,
224,938,Range Sum of BST,"Tree, ","FB19, ",Easy,,,,,,,
225,286,Walls and Gates,,"AMZ60, ",Medium,,,,,,,
226,1004,Max Consecutive Ones III,"Two Pointers, Sliding Window, ","FB62, ",Medium,,,,,,,
227,16,3Sum Closest,"Array, Two Pointers, ","APP51, ",Medium,,,,,,,
228,1328,Break a Palindrome,"String, ","AMZ41, ",Medium,,,,,,,
229,1413,Minimum Value to Get Positive Step by Step Sum,,,Easy,,,,,,,
230,540,Single Element in a Sorted Array,"Binary Search, ","APP79, ",Medium,,,,,,,
231,716,Max Stack,"Design, ","APP17, ",Easy,,,,,,,
232,356,Line Reflection,"Hash Table, Math, ","AMZ61, ",Medium,,,,,,,
233,718,Maximum Length of Repeated Subarray,,,Medium,,,,,,,
234,256,Paint House,,,Medium,,,,,,,
235,1011,Capacity To Ship Packages Within D Days,,,Medium,,,,,,,
236,55,Jump Game,"Array, Greedy, ","MIC118, ",Medium,,,,,,,
237,93,Restore IP Addresses,,,Medium,,,,,,,
238,934,Shortest Bridge,,,Medium,,,,,,,
239,417,Pacific Atlantic Water Flow,,,Medium,,,,,,,
240,785,Is Graph Bipartite?,,"FB44, ",Medium,,,,,,,
241,498,Diagonal Traverse,,,Medium,,,,,,,
242,752,Open the Lock,,"G31, FB81, ",Medium,,,,,,,
243,1047,Remove All Adjacent Duplicates In String,"Stack, ","FB63, ",Easy,,,,,,,
244,494,Target Sum,,,Medium,,,,,,,
245,670,Maximum Swap,"Array, Math, ","FB35, APP61, ",Medium,,,,,,,
246,371,Sum of Two Integers,,,Medium,,,,,,,
247,339,Nested List Weight Sum,,"FB31, ",Easy,,,,,,,
248,82,Remove Duplicates from Sorted List II,,,Medium,,,,,,,
249,844,Backspace String Compare,"Two Pointers, Stack, ","G71, FB85, ",Easy,,,,,,,
250,703,Kth Largest Element in a Stream,"Heap, Design, ","MIC82, ",Easy,,,,,,,
251,166,Fraction to Recurring Decimal,,,Medium,,,,,,,
252,688,Knight Probability in Chessboard,"Dynamic Programming, ","G43, ",Medium,,,,,,,
253,932,Beautiful Array,,,Medium,,,,,,,
254,503,Next Greater Element II,"Stack, ","AMZ82, APP80, ",Medium,,,,,,,
255,435,Non-overlapping Intervals,"Greedy, ","APP77, ",Medium,,,,,,,
256,1027,Longest Arithmetic Subsequence,"Dynamic Programming, ","G40, ",Medium,,,,,,,
257,61,Rotate List,,,Medium,,,,,,,
258,137,Single Number II,,,Medium,,,,,,,
259,836,Rectangle Overlap,"Math, ","MIC31, ",Easy,,,,,,,
260,160,Intersection of Two Linked Lists,"Linked List, ","APP102, ",Easy,,,,,,,
261,324,Wiggle Sort II,,,Medium,,,,,,,
262,1060,Missing Element in Sorted Array,"Binary Search, ","G10, ",Medium,,,,,,,
263,368,Largest Divisible Subset,,,Medium,,,,,,,
264,567,Permutation in String,"Two Pointers, Sliding Window, ","MIC91, ",Medium,,,,,,,
265,1195,Fizz Buzz Multithreaded,,,Medium,,,,,,,
266,946,Validate Stack Sequences,"Stack, ","G3, ",Medium,,,,,,,
267,622,Design Circular Queue,"Design, Queue, ","AMZ59, APP62, ",Medium,,,,,,,
268,108,Convert Sorted Array to Binary Search Tree,"Tree, ","APP91, ",Easy,,,,,,,
269,264,Ugly Number II,,,Medium,,,,,,,
270,525,Contiguous Array,"Hash Table, ","FB57, ",Medium,,,,,,,
271,96,Unique Binary Search Trees,,,Medium,,,,,,,
272,141,Linked List Cycle,"Linked List, Two Pointers, ","APP116, ",Easy,,,,,,,
273,738,Monotone Increasing Digits,,,Medium,,,,,,,
274,130,Surrounded Regions,,,Medium,,,,,,,
275,107,Binary Tree Level Order Traversal II,"Tree, ","MIC113, ",Easy,,,,,,,
276,1177,Can Make Palindrome from Substring,,,Medium,,,,,,,
277,168,Excel Sheet Column Title,,,Easy,,,,,,,
278,516,Longest Palindromic Subsequence,"Dynamic Programming, ","MIC54, ",Medium,,,,,,,
279,1188,Design Bounded Blocking Queue,,"MIC06, ",Medium,,,,,,,
280,463,Island Perimeter,"Hash Table, ","FB84, ",Easy,,,,,,,
281,304,Range Sum Query 2D - Immutable,"Dynamic Programming, ","G79, FB59, ",Medium,,,,,,,
282,907,Sum of Subarray Minimums,"Array, Stack, ","G74, ",Medium,,,,,,,
283,979,Distribute Coins in Binary Tree,,,Medium,,,,,,,
284,167,Two Sum II - Input array is sorted,,,Easy,,,,,,,
285,424,Longest Repeating Character Replacement,"Two Pointers, Sliding Window, ","G82, ",Medium,,,,,,,
286,1010,Pairs of Songs With Total Durations Divisible by 60,"Array, ","AMZ14, ",Medium,,,,,,,
287,112,Path Sum,"Tree, ","APP64, ",Easy,,,,,,,
288,384,Shuffle an Array,,"MIC75, ",Medium,,,,,,,
289,131,Palindrome Partitioning,,,Medium,,,,,,,
290,898,Bitwise ORs of Subarrays,,,Medium,,,,,,,
291,1057,Campus Bikes,"Greedy, Sort, ","AMZ70, ",Medium,,,,,,,
292,150,Evaluate Reverse Polish Notation,"Stack, ","MIC87, ",Medium,,,,,,,
293,193,Valid Phone Numbers,,,Easy,,,,,,,
294,449,Serialize and Deserialize BST,"Tree, ","MIC59, ",Medium,,,,,,,
295,219,Contains Duplicate II,,,Easy,,,,,,,
296,205,Isomorphic Strings,"Hash Table, ","APP59, ",Easy,,,,,,,
297,241,Different Ways to Add Parentheses,,,Medium,,,,,,,
298,277,Find the Celebrity,"Array, ","MIC108, APP58, ",Medium,,,,,,,
299,983,Minimum Cost For Tickets,,,Medium,,,,,,,
300,935,Knight Dialer,,,Medium,,,Finish Line,,,,
301,1155,Number of Dice Rolls With Target Sum,"Dynamic Programming, ","MIC28, ",Medium,,,,,,,
302,1497,Check If Array Pairs Are Divisible by k,,,Medium,,,,,,,
303,459,Repeated Substring Pattern,,,Easy,,,,,,,
304,496,Next Greater Element I,"Stack, ","AMZ62, ",Easy,,,,,,,
305,628,Maximum Product of Three Numbers,"Array, Math, ","APP73, ",Easy,,,,,,,
306,390,Elimination Game,,,Medium,,,,,,,
307,232,Implement Queue using Stacks,"Stack, Design, ","MIC23, APP95, ",Easy,,,,,,,
308,1470,Shuffle the Array,,,Easy,,,,,,,
309,1140,Stone Game II,"Dynamic Programming, ","G53, ",Medium,,,,,,,
310,787,Cheapest Flights Within K Stops,,,Medium,,,,,,,
311,1253,Reconstruct a 2-Row Binary Matrix,,,Medium,,,,,,,
312,658,Find K Closest Elements,"Binary Search, ","FB53, APP68, ",Medium,,,,,,,
313,853,Car Fleet,"Sort, ","G22, ",Medium,,,,,,,
314,106,Construct Binary Tree from Inorder and Postorder Traversal,,,Medium,,,,,,,
315,1329,Sort the Matrix Diagonally,,,Medium,,,,,,,
316,1419,Minimum Number of Frogs Croaking,,,Medium,,,,,,,
317,1262,Greatest Sum Divisible by Three,,,Medium,,,,,,,
318,1042,Flower Planting With No Adjacent,,,Medium,,,,,,,
319,809,Expressive Words,"String, ","G4, ",Medium,,,,,,,
320,173,Binary Search Tree Iterator,"Stack, Tree, Design, ","FB55, ",Medium,,,,,,,
321,355,Design Twitter,,,Medium,,,,,,,
322,1353,Maximum Number of Events That Can Be Attended,,,Medium,,,,,,,
323,746,Min Cost Climbing Stairs,,,Easy,,,,,,,
324,1254,Number of Closed Islands,,"G45, APP54, ",Medium,,,,,,,
325,165,Compare Version Numbers,"String, ","G37, MIC117, ",Medium,,,,,,,
326,813,Largest Sum of Averages,,,Medium,,,,,,,
327,713,Subarray Product Less Than K,,,Medium,,,,,,,
328,57,Insert Interval,"Array, Sort, ","G75, ",Medium,,,,,,,
329,659,Split Array into Consecutive Subsequences,"Heap, Greedy, ","G35, ",Medium,,,,,,,
330,349,Intersection of Two Arrays,,,Easy,,,,,,,
331,682,Baseball Game,"Stack, ","AMZ15, ",Easy,,,,,,,
332,66,Plus One,"Array, ","APP114, ",Easy,,,,,,,
333,1275,Find Winner on a Tic Tac Toe Game,"Array, ","APP25, ",Easy,,,,,,,
334,542,01 Matrix,,,Medium,,,,,,,
335,1314,Matrix Block Sum,"Dynamic Programming, ","G56, ",Medium,,,,,,,
336,157,Read N Characters Given Read4,"String, ","G64, FB65, ",Easy,,,,,,,
337,419,Battleships in a Board,,,Medium,,,,,,,
338,1051,Height Checker,,,Easy,,,,,,,
339,1277,Count Square Submatrices with All Ones,"Array, Dynamic Programming, ","G19, ",Medium,,,,,,,
340,229,Majority Element II,,,Medium,,,,,,,
341,448,Find All Numbers Disappeared in an Array,,,Easy,,,,,,,
342,192,Word Frequency,,"APP11, ",Medium,,,,,,,
343,1143,Longest Common Subsequence,,,Medium,,,,,,,
